inputFiles,9,,
name,checksum,
arcs,'1436222929'
machines,'3752819736'
map,'1208242387'
nodes,'2025878815'
productDict,'3540767073'
productOrders,'1384414659'
rNetTravels,'0'
travel,'3675883229'
workers,'4114623967'
,
eventDict,12,,
key,name,
0,nullEvent
1,taskReleased
2,checkAssign
3,assignClosestAvailableWorker
4,moveToJob
5,arriveAtJob
6,moveJobToMachine
7,startMachineProcess
8,releaseWorker
9,finishTask
10,finishAndRelease
11,finishBatch
,
events,
index,parentIndex,time,eventKey,workerIndex,jobIndex,macIndex,eventListSize,
1,-1,17793.07824,1,-1,1,-1,111,
2,1,17793.07824,2,-1,-1,-1,111,
3,2,17793.07824,3,-1,-1,-1,111,
4,3,17793.07824,4,1,1,1,111,
5,4,17793.07875,5,1,1,1,111,
6,5,17793.07875,6,1,1,1,111,
7,6,17793.08218,7,1,1,1,111,
8,7,17793.08287,8,1,-1,-1,111,
9,8,17793.08287,2,-1,-1,-1,111,
10,9,17793.08287,3,-1,-1,-1,111,
11,-1,17793.18227,1,-1,8,-1,110,
12,11,17793.18227,2,-1,-1,-1,110,
13,12,17793.18227,3,-1,-1,-1,110,
14,13,17793.18227,4,2,8,1,110,
15,-1,17793.18227,1,-1,7,-1,110,
16,15,17793.18227,2,-1,-1,-1,110,
17,16,17793.18227,3,-1,-1,-1,110,
18,-1,17793.18227,1,-1,6,-1,109,
19,18,17793.18227,2,-1,-1,-1,109,
20,19,17793.18227,3,-1,-1,-1,109,
21,-1,17793.18227,1,-1,5,-1,108,
22,21,17793.18227,2,-1,-1,-1,108,
23,22,17793.18227,3,-1,-1,-1,108,
24,-1,17793.18227,1,-1,4,-1,107,
25,24,17793.18227,2,-1,-1,-1,107,
26,25,17793.18227,3,-1,-1,-1,107,
27,-1,17793.18227,1,-1,3,-1,106,
28,27,17793.18227,2,-1,-1,-1,106,
29,28,17793.18227,3,-1,-1,-1,106,
30,-1,17793.18227,1,-1,2,-1,105,
31,30,17793.18227,2,-1,-1,-1,105,
32,31,17793.18227,3,-1,-1,-1,105,
33,14,17793.18277,5,2,8,1,104,
34,33,17793.18277,6,2,8,1,104,
35,34,17793.18620,7,2,8,1,104,
36,35,17793.18690,8,2,-1,-1,104,
37,36,17793.18690,2,-1,-1,-1,104,
38,37,17793.18690,3,-1,-1,-1,104,
39,-1,17793.18690,2,-1,-1,-1,105,
40,39,17793.18690,3,-1,-1,-1,105,
41,38,17793.18690,4,1,7,1,104,
42,41,17793.19033,5,1,7,1,104,
43,42,17793.19033,6,1,7,1,104,
44,43,17793.19376,7,1,7,1,104,
45,44,17793.19445,8,1,-1,-1,104,
46,45,17793.19445,2,-1,-1,-1,104,
47,46,17793.19445,3,-1,-1,-1,104,
48,-1,17793.19445,2,-1,-1,-1,105,
49,48,17793.19445,3,-1,-1,-1,105,
50,47,17793.19445,4,1,6,1,104,
51,50,17793.19788,5,1,6,1,104,
52,51,17793.19788,6,1,6,1,104,
53,52,17793.20131,7,1,6,1,104,
54,53,17793.20201,8,1,-1,-1,104,
55,54,17793.20201,2,-1,-1,-1,104,
56,55,17793.20201,3,-1,-1,-1,104,
57,-1,17793.20201,2,-1,-1,-1,105,
58,57,17793.20201,3,-1,-1,-1,105,
59,56,17793.20201,4,1,5,1,104,
60,59,17793.20544,5,1,5,1,104,
61,60,17793.20544,6,1,5,1,104,
62,61,17793.20887,7,1,5,1,104,
63,-1,17793.21530,1,-1,18,-1,105,
64,63,17793.21530,2,-1,-1,-1,105,
65,64,17793.21530,3,-1,-1,-1,105,
66,-1,17793.21530,1,-1,17,-1,104,
67,66,17793.21530,2,-1,-1,-1,104,
68,67,17793.21530,3,-1,-1,-1,104,
69,-1,17793.21530,1,-1,16,-1,103,
70,69,17793.21530,2,-1,-1,-1,103,
71,70,17793.21530,3,-1,-1,-1,103,
72,-1,17793.21530,1,-1,15,-1,102,
73,72,17793.21530,2,-1,-1,-1,102,
74,73,17793.21530,3,-1,-1,-1,102,
75,-1,17793.21530,1,-1,14,-1,101,
76,75,17793.21530,2,-1,-1,-1,101,
77,76,17793.21530,3,-1,-1,-1,101,
78,-1,17793.21530,1,-1,13,-1,100,
79,78,17793.21530,2,-1,-1,-1,100,
80,79,17793.21530,3,-1,-1,-1,100,
81,-1,17793.21530,1,-1,12,-1,99,
82,81,17793.21530,2,-1,-1,-1,99,
83,82,17793.21530,3,-1,-1,-1,99,
84,-1,17793.21530,1,-1,11,-1,98,
85,84,17793.21530,2,-1,-1,-1,98,
86,85,17793.21530,3,-1,-1,-1,98,
87,-1,17793.21530,1,-1,10,-1,97,
88,87,17793.21530,2,-1,-1,-1,97,
89,88,17793.21530,3,-1,-1,-1,97,
90,-1,17793.21530,1,-1,9,-1,96,
91,90,17793.21530,2,-1,-1,-1,96,
92,91,17793.21530,3,-1,-1,-1,96,
93,62,17793.22970,8,1,-1,-1,95,
94,93,17793.22970,2,-1,-1,-1,95,
95,94,17793.22970,3,-1,-1,-1,95,
96,-1,17793.23005,1,-1,26,-1,94,
